연번,지정일자,업종,업소명,업주명,구군,주소,연락처,대표메뉴1,대표메뉴2,대표메뉴1 가격,대표메뉴2 가격,변동사항,비 고
81,2012-05,한식,할매가마솥국밥,배옥순,남구,이천로 48,053-475-2375,돼지국밥,,5000,,변동없음,
82,2012-05,한식,화신불고기,조정문,남구,봉덕로13길 17-1,053-473-6686,옛날불고기,갈비탕,7000,6000,변동없음,
83,2012-06,일식,더스시,서정욱,남구,명덕로40길 89-1,053-656-2935,등심돈까스,유부우동,7000,4000,변동없음,
84,2012-06,한식,뒤뜨레,김태숙,남구,명덕로40길 116,053-654-7759,수제돈까스,,6000,,변동없음,
85,2012-06,한식,미스돈생삼겹살,엄영희,남구,두류공원로 118,053-651-3301,생삼겹살(150g),,9000,,변동없음,
86,2012-06,한식,영선식당,강명구,남구,중앙대로48길 16-4,053-473-3323,청국장,,5000,,변동없음,
87,2012-06,한식,하하생막창뒷고기,이혜경,남구,명덕시장길 79,053-622-8141,생삼겹(150g),,7000,,변동없음,
88,2013-05,양식,도누한,안영례,남구,효성로 39,053-474-7988,돈까스컵밥,돈까스,3900,6000,변동없음,
89,2013-05,한식,오가철판닭갈비앤부대찌게,김영숙,남구,명덕로40길115-3,053-622-4018,돈까스,제육덮밥,5000,5000,변동없음,
90,2013-05,양식,지구인,김순란,남구,명덕로40길97-1,053-657-0535,돈까스,,6000,,변동없음,
91,2013-05,한식,청도할머니김밥,노옥분,남구,중앙대로22길173-2,053-202-4001,청도김밥,잔치국수,1000,4000,변동없음,
92,2019-12,이미용업,예림미용실,이정숙,남구,봉덕로20길 18,053-471-6507,커트,,6000,,변동없음,
93,2019-12,이미용업,한아름미용실,기혜자,남구,골안길 72,053-654-9719,커트,,5000,,변동없음,
94,2019-12,이미용업,홍미용실,김동성,남구,성당로34길 42,053-653-2002,커트,,4000,,변동없음,
95,2011-11,이미용업,희망이발관,박문식,북구,구암로 21길 13 (읍내동 1379-17),053-322-4778,컷트,,8000,,변동없음,
96,2011-11,이미용업,모범이용원,백재훈,북구,옥산로17길50 (침산3동 369-2 제일@상가),053-359-1783,컷트,,8000,,변동없음,
97,2011-11,이미용업,한신이용소,이정식,북구,칠곡중앙대로77길 29 (태전2동 945),053-321-4058,컷트,,8000,,변동없음,
98,2012-06,이미용업,유성이용소,노희선,북구,검단로 117 (검단동 887-67),053-382-9289,컷트,,7000,,변동없음,
99,2012-06,이미용업,남성헤어샵,김연기,북구,태암로5길 11 (태전1동 1018-14),053-325-7048,컷트,,9000,,변동없음,
100,2012-06,한식,장터숫불,이복순,북구,공평로 135 (칠성동2가 302-95),053-423-2008,돼지갈비,,3000,,변동없음,
101,2012-06,한식,변사또숫불,장기원,북구,공평로 135 (칠성동2가 302-95),053-422-8650,돼지갈비,,3000,,변동없음,
102,2012-06,한식,김가네,김헌희,북구,유통단지로 60 (산격2동 1667),053-601-1323,칼국수,,5000,,변동없음,
103,2012-06,한식,유정식당,윤양희,북구,팔달로 41길 41-2 (노원동2가 295-18),053-351-1140,삼겹살,,6000,,변동없음,
104,2012-06,중식,상하이반점,문미옥,북구,관음동로9길 19 (관음동 1358-1),053-325-8376,짬봉,,4500,,변동없음,
105,2012-06,중식,짜장궁,곽경한,북구,칠성남로35길30-28 (칠성동2가 548-8),053-423-2937,짜장면,,4000,,변동없음,
106,2012-06,한식,늘봄숯불식당,이경자,북구,오봉로1길 51 (노원동2가 289-1),053-355-4521,돼지갈비,,9000,,변동없음,
107,2012-06,세탁업,명성세탁푸르지오,장효철,북구,침산로 153 (침산3동 269-10),053-353-1077,정장1벌,,7000,,변동없음,
108,2012-06,이미용업,시장미용실,서연순,북구,팔달로37길 12 (노원동2가 374-2),,컷트,,7000,,변동없음,
109,2012-06,이미용업,들꽃미용실,박필수,북구,침산남로 13길 38-8 (침산1동 1573),053-355-7203,컷트,,5000,,변동없음,
110,2013-12,한식,왕추,지영조,북구,대현동 9길 55 (대현동 257-15),053-959-0038,찜닭,,13000,,변동없음,
111,2019-05,중식,북경,하성웅,북구,대현동 7길 28 (대현동 109-1),053-944-8822,짜장면,,3000,,변동없음,
112,2019-10,중식,삼익반점,오일수,북구,침산로 256 (침산3동 642),053-356-1817,짜장면,,4500,,변동없음,
113,2019-10,이미용업,짚시헤어라인,이금수,북구,침산로 255 (침산3동 645-19),,컷트,,6000,,변동없음,
114,2011-10,중식,몽짬뽕,주대억,수성구,용학로30길 12(지산동),053-782-5630,자장면,,4500,,변동없음,
115,2011-10,중식,대림반점,이순기,수성구,수성로25길 72(상동),053-762-1256,짜장면,,4000,,변동없음,
116,2011-10,한식,종성식당,김현숙,수성구,동대구로77길 12(범어3동),053-756-1657,김치찌개,,5000,,변동없음,
117,2011-10,한식,맛자랑,김금희,수성구,범어로20길 95(범어4동),053-755-6508,된장찌개,,5000,,변동없음,
118,2015-05,중식,짜장집을 찾아서,정옥태,수성구,수성로 294 (수성동2가),053-764-2538,짜장면,,2500,,변동없음,
119,2012-06,한식,전주식콩나물해장국,전정옥,수성구,시지로3길 62(시지동),053-792-7028,해장국,,6000,,변동없음,
120,2012-06,한식,별미국수,장인환,수성구,범어천로 41(범어1동),053-762-3989,육국수,,5500,,500원인상,
121,2012-06,중식,동부반점,이연화,수성구,공경로 30 (만촌동),053-746-5411,자장면,,2500,,변동없음,
122,2012-06,한식,전원식당,방정순,수성구,만촌로 77 (만촌동),053-744-1479,칼국수,,4500,,변동없음,
123,2012-06,한식,우리국시,김순금,수성구,용학로42길 24 (지산동),053-781-5850,칼국수,,3000,,변동없음,
124,2012-06,이미용업,수미헤어샵,윤형유,수성구,수성로57길 34 (수성동1가),053-767-5992,여자성인커트,,8000,,변동없음,
125,2012-06,분식,동곡손칼국수,오광열,수성구,"명덕로 368, 상가109호(수성동1가, 우방한가람타운)",053-761-9764,칼국수,,4500,,변동없음,
126,2012-06,한식,부자돼지촌,이은숙,수성구,수성로53길 23(수성동1가),053-767-5735,삼겹살150g(국내산),,8000,,변동없음,
127,2013-05,이미용업,영아미용실,김영선,수성구,공경로 63(만촌동),053-743-2555,여자성인커트,,7000,,변동없음,
128,2013-05,이미용업,빨강머리컷트,정민경,수성구,만촌로 62(만촌동),053-759-4005,여자성인커트,,12000,,변동없음,
129,2013-05,한식,동피랑충무김밥,이동현,수성구,"상록로2길 77, 로타리시장86호(범어3동)",053-741-5547,충무오징어김밥,,5000,,500원인하,
130,2015-02,한식,별미칼국수,이경순,수성구,천을로 147(매호동),053-794-8159,칼국수,,5000,,변동없음,
131,2019-08,한식,어랑생선구이,최병례,수성구,동대구로59길 10 (범어동),053-754-4304,비빔밥,,4000,,변동없음,
132,2019-08,한식,수희식당,이근희,수성구,국채보상로 934 (범어동),053-754-8587,도시락 정식,,5500,,변동없음,
133,2019-08,한식,청도식당,김금희,수성구,상록로 65 (범어동),053-751-7972,칼국수,,6000,,변동없음,
134,2019-08,한식,콩부대찌개,백승희,수성구,범어로19길 50 (범어동),053-741-1226,콩나물 부대찌개,,6500,,변동없음,
135,2019-08,양식,서양식당,김희정,수성구,달구벌대로496길 72 (범어동),053-743-1254,알리오 올리브,,7900,,변동없음,
136,2019-08,한식,아름타리,이귀순,수성구,"교학로 37, 1층 (만촌동)",053-201-1666,된장찌개,,6000,,변동없음,
137,2019-08,한식,마을불고기,성일경,수성구,"달구벌대로456길 22, 1층 (수성동1가)",053-744-9616,우삼겹된장찌개,,4000,,변동없음,
138,2019-08,한식,지우(순창식육마트),송지우,수성구,수성로 318 (수성동2가),053-763-5235,점심,,6000,,변동없음,
139,2019-08,한식,정원한우갈비,김진희,수성구,범어천로 151-28 (수성동4가),053-756-3369,한우국밥,,6000,,변동없음,
140,2019-08,한식,진보리밥,최조영,수성구,"청수로 235, 종합상가203-2호(황금동, 캐슬골드파크2단지아파트)",053-767-7799,보리비빔밥,,4000,,변동없음,
141,2019-08,한식,중동국시,김순희,수성구,수성로50길 12 (중동),053-761-8788,국수,,5000,,변동없음,
142,2019-08,한식,두꺼비식당,김연옥,수성구,수성로50길 15-2 (중동),053-766-7761,김치찌개,,6000,,변동없음,
143,2019-08,한식,시골추어탕,홍정희,수성구,수성로14길 56 (상동),053-762-9980,추어탕,,7000,,변동없음,
144,2019-08,기타(외식),카페 아날로그,류의상,수성구,"파동로 120, 14동 상가19호(파동, 우방대자연맨션1차아파트)",053-762-5258,아메리카노,,1500,,변동없음,
145,2019-08,일식,부선회초밥,이창민,수성구,무학로 117 (두산동),053-762-0077,부선정식,,15000,,변동없음,
146,2019-08,한식,풍기삼계탕,이순희,수성구,들안로 58 (두산동),053-761-1398,닭계장,,7000,,변동없음,
147,2019-08,중식,산동성,조의상,수성구,지범로27길 79 (지산동),053-784-0830,짜장면,,3000,,변동없음,
148,2019-08,중식,짬뽕집,최경일,수성구,용학로33길 24 (지산동),,짜장면,,3500,,변동없음,
149,2019-08,이미용업,힐링헤어,김경남,수성구,용학로44길 35 (지산동),053-781-7272,성인여자컷,,10000,,변동없음,
150,2019-08,한식,누리찬,이옥형,수성구,용학로 169-1 (지산동),053-781-1921,비빔밥,,5000,,변동없음,
151,2019-08,한식,맛보리밥상,류경화,수성구,용학로 246 (지산동),053-784-9883,정식,,6500,,변동없음,
152,2019-08,한식,장수삼계탕,정무선,수성구,범안로16길 40 (범물동),053-784-0090,삼계탕,,11000,,변동없음,
153,2019-08,한식,장터돼지국밥,주초연,수성구,신매로16길 26 (신매동),053-794-7889,돼지국밥,,6000,,변동없음,
154,2019-08,한식,일조엄마손,남두선,수성구,신매로16길 72 (신매동),053-793-0607,된장찌개,,6000,,변동없음,
155,2019-08,한식,미담,김범준,수성구,"명덕로 452, 1층(수성동3가)",053-767-9088,비빔밥,,7000,,변동없음,
156,2019-11,한식,금풍국수,손위숙,수성구,신매로 88(신매동),,칼국수,,5000,,변동없음,
157,2019-11,한식,천사돼지국밥,정지연,수성구,신매로 16길 31(신매동),053-217-5474,돼지국밥,,7000,,변동없음,
158,2019-12,기타(외식),커피딜라이트,김재윤,수성구,"파동로 120, 14동 상가 커피딜라이트(파동, 우방대자연맨션1차아파트)",070-7717-7171,아메리카노,,2400,,변동없음,
159,2019-12,분식,전국시대분식,남정은,수성구,"파동로 120, 14동 상가 전국시대분식(파동, 우방대자연맨션1차아파트)",053-764-8892,떡볶이,,2500,,변동없음,
160,2019-12,한식,밀밭식당,김소원,수성구,"파동로 120, 14동 상가 밀밭식당(파동, 우방대자연맨션1차아파트)",053-765-3992,추어탕,,7000,,변동없음,
161,2019-12,한식,의성식당,박종희,수성구,"파동로 120, 14동 상가 의성식당(파동, 우방대자연맨션1차아파트)",053-761-8113,돼지국밥,,6000,,변동없음,
162,2019-12,한식,부산식당,김정희,수성구,"파동로 120, 14동 상가 부산식당(파동, 우방대자연맨션1차아파트)",053-765-5619,칼국수,,5000,,변동없음,
163,2011-10,한식,365먹골촌,안을임,달서구,파도고개로30길 2(두류동 88-8),053-622-0222,"돼지갈비(독일산, 250g)",,6000,,변동없음,
164,2012-06,한식,시골밥상,양명화,달서구,야외음악당로47길 112 (두류동 137-7),053-628-2323,칼국수,,4000,,변동없음,
165,2012-06,일식,돌섬회타운,이경희,달서구,달구벌대로 1732-4(두류동 488-9),053-622-4589,생선초밥,,7000,,변동없음,
166,2012-06,한식,가야산식당(숯불갈비),김선임,달서구,두류공원로50길 17(두류동 141-1),053-624-1348,김치찌개,,4000,,변동없음,
167,2012-06,한식,아름식당,김영희,달서구,파도고개로 198(두류동 1249-19),053-622-5556,칼국수,,5000,,변동없음,
168,2012-06,한식,현대식당,김상이,달서구,대명천로 148(본리동 145-1),053-554-6401,칼국수,,4500,,변동없음,
169,2012-06,한식,김밥매니아,송춘녀,달서구,성지로 84(용산동 446-2),053-583-1478,된장찌개,,4500,,변동없음,
170,2012-06,한식,명동돈까스,이종영,달서구,선원로14길 21(신당동 1761-16),053-585-3303,돈까스,,5000,,변동없음,
171,2012-06,한식,박가네돈까스,박순희,달서구,"월성로 77, 나동상가 110호(월성동 86 주공2 나동상가 110호)",053-636-1286,돈까스,,6000,,변동없음,
172,2012-06,한식,밥묵고고기묵고,김재순,달서구,월배로14길 11(진천동 626-25),070-8196-8188,칼국수,,5000,,변동없음,
173,2012-06,이미용업,다사랑헤어,백영애,달서구,"상인서로76,107/113 (상인동, 영남화성타운)",,파마,,20000,,변동없음,
174,2012-06,한식,착한멸치바지락칼국수,허영기,달서구,와룡로 22(본동 959-1),053-563-3650,칼국수,,4500,,변동없음,
175,2012-06,한식,꿀꿀이통돼지 왕소금구이,구수정,달서구,구마로12길 36(본동 719-2),053-586-2900,삼겹살(국내산 130g),,9000,,변동없음,
176,2011-10,중식,천안문,이선희,달서구,두류공원로 128(성당동 118-11),053-621-9663,자장면,,2500,,변동없음,
177,2012-06,중식,차이차이,김경민,달서구,야외음악당로39길 51 (두류동 613-8),053-628-2783,자장면,,3500,,변동없음,
178,2012-06,한식,멋쟁이배추,박찬규,달서구,성서서로75길 19(신당동 1757),053-583-4499,갈비탕,,7000,,변동없음,
179,2012-06,중식,삼성관,이상진,달서구,진천로8길 7(진천동 490-11),053-635-3553,자장면,,3500,,변동없음,
180,2012-06,중식,우당탕반점,유승락,달서구,월배로34길 48(상인동 343-4),053-636-3688,자장면,,4000,,변동없음,
181,2011-10,중식,홍화성,임복선,달서구,송현로 103(송현동 1029-1),053-636-9033,자장면,,3000,,변동없음,
182,2012-06,이미용업,신광이용소,박헌환,달서구,구마로39길 30(성당동 824-63),053-624-3953,성인남성 커트,,9000,,변동없음,
183,2012-06,이미용업,수헤어,배순철,달서구,당산동길 45(성당동 708-27),053-526-2648,커트,,8000,,변동없음,
184,2012-06,이미용업,수미미용실,오명숙,달서구,야외음악당로9길 37 (성당동 420-2 46호),053-656-6053,커트,,8000,,변동없음,
185,2011-10,이미용업,신라미장,이경희,달서구,새동네로 34(용산동 410-2),053-584-2405,커트,,8000,,변동없음,
186,2011-10,이미용업,이경화헤어샵,이영숙,달서구,선원로14길 56(신당동 1765-4),053-582-0359,커트,,8000,,변동없음,
187,2012-06,이미용업,내담미용실,박종향,달서구,상화로29길 48(진천동 195-10),053-634-3339,커트,,8000,,변동없음,
188,2012-06,한식,가야산식육식당,이창길,달서구,송현로 178-1(송현동 534-1),053-656-6166,된장찌개,,4000,,변동없음,
189,2012-06,목욕업,청하탕,박지현,달서구,진천로 21(진천동 482-29),053-633-1888,"목욕료(남,여)",,4500,,변동없음,
190,2012-06,목욕업,록천목욕탕,장인숙,달서구,월배로24길 66(진천동 258-3),053-633-5145,"목욕료(남,여)",,4000,,변동없음,
191,2013-05,일식,강구회,배기석,달서구,용산로 59(장기동 818-5),053-555-3396,회초밥,,7000,,변동없음,
192,2013-05,중식,영화반점,강정석,달서구,선원로37남길 20(이곡동 1356-8),053-592-9166,자장면,,3000,,변동없음,
193,2013-05,중식,동보성반점,전미순,달서구,월배로 422(송현동 207-12),053-652-1800,자장면,,4000,,변동없음,
194,2013-05,중식,금화루,김재숙,달서구,성지로14안길 12(용산동 455-6),053-586-5863,자장면,,3000,,변동없음,
195,2013-05,한식,평사리가는길,송규견,달서구,대명천로 50(성당동 344),053-624-2645,칼국수,,4700,,변동없음,
196,2011-10,한식,까치골숯불촌,서효동,달서구,파도고개로 225(두류동 108-12),053-655-0445,"돼지갈비(국내산,180g)",,6000,,변동없음,
197,2015-06,한식,그곳에가면손칼국수,이옥연,달서구,새동네로13길 27(용산동 421-29),053-585-3116,잔치국수,,4000,,변동없음,
198,2015-06,세탁업,세탁일번가,송경아,달서구,선원로 87(이곡동 1186-13),053-588-2820,정장1벌,,4000,,변동없음,
199,2015-06,중식,오특,최만국,달서구,선원로 61-1(신당동 1695-18),053-586-0881,자장면,,4000,,변동없음,
200,2015-06,중식,중화반점 차오,도재섭,달서구,계대동문로3안길 26 (신당동 1697-22),053-587-2299,자장면,,3500,,변동없음,
201,2015-06,중식,북경반점,홍기연,달서구,와룡로10길 58 (본동 783-4),053-552-6667,자장면,,3000,,변동없음,
202,2015-06,한식,국시애,한종순,달서구,월곡로32길 32 (상인동 1565-6),053-634-2992,칼국수,,5000,,변동없음,
203,2015-06,한식,나리숯불갈비,주미화,달서구,구마로53길 24 (성당동 223-5),053-623-6119,돼지갈비(국내산200g),,6000,,변동없음,
204,2015-06,한식,국수내가한다,김경선,달서구,대명천로 36 (성당동 300-1),053-241-2850,칼국수,,4500,,변동없음,
205,2015-06,중식,짬뽕의전설 따거,이은희,달서구,상인서로 85 (상인동 1514),053-639-2783,자장면,,3000,,변동없음,
206,2015-06,한식,밀밭손국시,이인숙,달서구,대명천로 42-1 (성당동 309),053-627-7333,손칼국수,,5000,,변동없음,
207,2016-10,양식,카보드,서춘교,달서구,송현동길 101(송현동 581-4),,아메리카노,,2000,,변동없음,
208,2017-09,한식,백년마실,이명숙,달서구,선원로14길 58 (신당동 1765-5),053-625-3797,잔치국수,,4000,,변동없음,
209,2017-09,한식,오복식당,배해숙,달서구,서당로7길 7 (신당동 1810),053-582-9223,김치찌개,,6000,,변동없음,
210,2017-09,한식,죽도생아구찜,김강민,달서구,상인서로10길 32 (상인동 1538-1),053-643-4888,아구찜,,30000,,변동없음,
211,2017-09,이미용업,샬롬헤어,허미화,달서구,"상인서로76,107/111 (상인동, 영남화성타운)",053-639-2486,커트,,7000,,변동없음,
212,2017-09,한식,25시국수,안경숙,달서구,선원로34 (신당동 1745),053-587-3331,잔치국수,,3500,,변동없음,
213,2017-09,한식,웃는돈지국수가,이지현,달서구,월배로14길 35 (진천동 628-29),053-636-3011,칼국수,,4000,,변동없음,
214,2018-07,한식,별미국수,김정희,달서구,달구벌대로260길 19 (이곡동 661-9),053-585-1123,칼국수,,5000,,변동없음,
215,2018-07,한식,종로빈대떡,오귀연,달서구,월배로28길17 (진천동 117-6),053-634-8515,손수제비,,4000,,변동없음,
216,2019-08,이미용업,굿미용실,이영철,달서구,한실로45(도원동) 8단지상가 110호,053-637-3719,커트,,8000,,변동없음,
217,2019-08,기타,엠트리,문경서,달서구,상인로26길 10 (상인동 1532),053-633-6888,아메리카노,,2000,,변동없음,
